X,Y
-0.876847428,1.996318824
-0.748759325,1.997248514
-0.635574695,1.978046579
-0.513769071,1.973224777
-0.382577547,1.955077224
-0.275144211,1.923813789
-0.156802752,1.949219695
-0.046002059,1.895342542
0.084152257,1.873104082
0.192063131,1.868157532
0.238547032,1.811664165
0.381412694,1.830869925
0.431182119,1.755312479
0.562589082,1.725444806
0.553294269,1.689047886
0.730976261,1.610522064
0.722164981,1.633112952
0.861069302,1.562450197
0.825107945,1.435846225
0.825261132,1.456391196
0.948721626,1.393367552
1.001705278,1.275768447
0.966788667,1.321375233
1.030828944,1.228437023
1.083195636,1.143011589
0.920876422,1.037854388
0.994518277,1.064971023
0.954169422,0.938084211
0.903586083,0.985255341
0.877869854,0.729143525
0.866594018,0.75025734
0.757278389,0.638917822
0.655489515,0.670717406
0.687639626,0.511655563
0.656365078,0.638542346
0.491775914,0.401874802
0.35504489,0.38963967
0.275616568,0.182958126
0.338471037,0.102347682
0.103918095,0.152960961
0.238473941,-0.070899965
-0.00657754,0.168107931
-0.091307058,-0.032174399
-0.290772034,-0.345025689
-0.287555253,-0.397984323
-0.363424618,-0.365636808
-0.544071691,-0.512970644
-0.7098968,-0.54654921
-1.007857216,-0.811837224
-0.932787122,-0.687973276
-0.123987649,-1.547976483
-0.247236701,-1.546629461
-0.369357682,-1.533968755
-0.497892178,-1.525597952
-0.606998699,-1.518386229
-0.751556976,-1.46427032
-0.858848619,-1.464142289
-0.957834238,-1.454165888
-1.061602698,-1.444783216
-1.169634343,-1.426033507
-1.272115895,-1.408678817
-1.380383293,-1.345651442
-1.480866574,-1.279955202
-1.548927664,-1.223262541
-1.597886819,-1.227115936
-1.686711497,-1.141898276
-1.812689051,-1.14805053
-1.809841336,-1.083347602
-1.938850711,-1.019723742
-1.974552679,-0.970515422
-1.953184359,-0.88363121
-1.98749965,-0.861879772
-2.04215554,-0.797813815
-1.984185734,-0.826986835
-2.063307605,-0.749495213
-1.964274134,-0.653639779
-2.020258155,-0.530431615
-1.946081996,-0.514425683
-1.934356006,-0.435380423
-1.827017658,-0.425058004
-1.788385889,-0.312443513
-1.800874033,-0.237312969
-1.784225126,0.013987951
-1.682828321,-0.063911465
-1.754042471,-0.075520653
-1.5680733,0.110795036
-1.438333268,0.170230561
-1.356614661,0.163613841
-1.336362397,0.334537756
-1.296677607,0.316006907
-1.109908857,0.474036646
-0.845929174,0.485303884
-0.855794711,0.395603118
-0.68479255,0.671166245
-0.514222252,0.652065554
-0.387612557,0.700858902
-0.51939719,1.025735335
-0.228760025,0.93490314
-0.293782477,1.008861678
0.013431012,1.082021525
